Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1522,DataAnalytics,85,4230,$233.73 ,18,8,NA,"$1,998 ",11/8/2024,Hyderabad,Tablet,Data Analytics Course
A1523,Data Analytcis ,105,3880,$246.63 ,19,8,0.051,"$1,598 ",11/13/2024,Hyderabad,Mobile,Data Anaytics Training
A1524,DataAnalytics,187,3842,$214.35 ,28,5,0.031,"$1,596 ",11/13/2024,Hyderabad,Mobile,Online Data Analytic
A1525,Data Analytcis ,153,3143,$244.73 ,12,10,0.065,"$1,365 ",11/15/2024,Hyderabad,Mobile,Online Data Analytic
A1526,Data Analytics ,143,5781,$208.63 ,21,9,0.05,"$1,443 ",11/26/2024,Hyderabad,Mobile,Data Analitics Online
A1527,Data analytics ,183,3790,$202.48 ,21,8,0.037,"$1,215 ",26-11-2024,Hyderabad,Desktop,Data Anaytics Training
A1528,DataAnalytics,172,4250,$235.20 ,28,7,NA,"$1,036 ",6/11/2024,Hyderabad,Mobile,Learn Data Analytics
A1529,Data Analytics ,98,3800,$240.45 ,16,3,0.031,"$1,700 ",11/1/2024,Hyderabad,Desktop,Data Analytics Course
A1530,Data Analytics ,87,4675,$200.71 ,28,6,0.069,"$1,428 ",11/20/2024,Hyderabad,Mobile,Analytics For Data
A1531,Data analytics ,84,5711,$216.02 ,13,6,NA,"$1,654 ",11/17/2024,Hyderabad,Desktop,Data Anaytics Training
A1532,Data Analytcis ,151,3022,$191.35 ,13,4,0.026,"$1,133 ",11/18/2024,Hyderabad,Mobile,Learn Data Analytics
A1533,Data analytics ,113,5407,$203.23 ,15,9,0.037,"$1,745 ",11/16/2024,Hyderabad,Desktop,Data Anaytics Training
A1534,Data Analytics ,89,5095,$202.21 ,22,4,0.056,"$1,065 ",11/7/2024,Hyderabad,Tablet,Data Analytics Course
A1535,Data Analytcis ,174,3587,$217.67 ,10,7,0.04,"$1,226 ",22-11-2024,Hyderabad,Mobile,Data Anaytics Training
A1536,DataAnalytics,166,5524,$205.53 ,25,7,NA,"$1,241 ",24-11-2024,Hyderabad,Mobile,Analytics For Data
A1537,Data Analytcis ,196,3777,$246.52 ,NA,5,0.026,"$1,159 ",11/15/2024,Hyderabad,Desktop,Data Analytics Course
A1538,Data analytics ,97,3480,$233.32 ,22,3,0.031,"$1,008 ",11/28/2024,Hyderabad,Desktop,Data Analitics Online
A1539,Data analytics ,89,4200,$200.98 ,23,8,NA,"$1,476 ",23-11-2024,Hyderabad,Mobile,Data Analytics Course
A1540,Data Analytcis ,130,5384,$218.60 ,24,8,0.062,"$1,943 ",11/28/2024,Hyderabad,Mobile,Learn Data Analytics
A1541,Data Analytics ,103,4766,$245.34 ,11,8,0.078,"$1,488 ",11/8/2024,Hyderabad,Desktop,Analytics For Data
A1542,Data Analytics ,138,3322,$196.83 ,17,8,0.058,NA,11/1/2024,Hyderabad,Desktop,Online Data Analytic
A1543,DataAnalytics,127,4625,$207.62 ,17,3,0.024,"$1,811 ",11/17/2024,Hyderabad,Desktop,Learn Data Analytics
A1544,Data analytics ,170,4689,$195.98 ,26,6,0.035,"$1,873 ",11/14/2024,Hyderabad,Desktop,Data Analitics Online
A1545,DataAnalytics,115,3764,$197.47 ,20,5,NA,"$1,952 ",11/27/2024,Hyderabad,Desktop,Learn Data Analytics
A1546,Data Analytcis ,132,3365,$198.01 ,17,9,0.068,"$1,161 ",11/14/2024,Hyderabad,Desktop,Analytics For Data
A1547,Data Analytics ,168,3392,$230.77 ,15,9,0.054,"$1,504 ",11/11/2024,Hyderabad,Mobile,Online Data Analytic
A1548,Data analytics ,145,5978,$223.30 ,30,10,NA,"$1,859 ",11/20/2024,Hyderabad,Mobile,Online Data Analytic
A1549,Data analytics ,163,3340,$217.35 ,26,7,0.043,"$1,751 ",24-11-2024,Hyderabad,Tablet,Data Anaytics Training
A1550,Data Analytics ,84,4407,$192.52 ,19,10,0.119,"$1,221 ",11/3/2024,Hyderabad,Tablet,Learn Data Analytics
A1551,Data analytics ,124,3180,$180.80 ,17,6,0.048,"$1,822 ",11/11/2024,Hyderabad,Mobile,Online Data Analytic
A1552,Data Analytics ,162,4947,$233.76 ,23,6,0.045,"$1,973 ",11/15/2024,Hyderabad,Tablet,Data Analytics Course
A1553,DataAnalytics,119,4480,$184.25 ,20,3,0.025,"$1,985 ",22-11-2024,Hyderabad,Mobile,Online Data Analytic
A1554,Data analytics ,151,5595,$246.66 ,24,4,0.026,"$1,921 ",11/29/2024,Hyderabad,Desktop,Learn Data Analytics
A1555,DataAnalytics,190,4808,$199.94 ,16,6,0.032,"$1,454 ",11/3/2024,Hyderabad,Desktop,Data Analitics Online
A1556,Data Analytics ,138,3382,$204.12 ,27,7,0.051,"$1,386 ",5/11/2024,Hyderabad,Tablet,Learn Data Analytics
A1557,Data analytics ,100,4643,$214.46 ,16,9,0.09,"$1,179 ",11/3/2024,Hyderabad,Tablet,Online Data Analytic
A1558,DataAnalytics,187,5400,$210.00 ,14,7,NA,"$1,945 ",11/15/2024,Hyderabad,Desktop,Analytics For Data
A1559,Data Analytcis ,176,3400,$191.50 ,29,3,NA,"$1,429 ",28-11-2024,Hyderabad,Mobile,Online Data Analytic
A1560,Data Analytics ,117,4223,NA,28,6,0.059,"$1,489 ",11/10/2024,Hyderabad,Mobile,Data Anaytics Training
A1561,Data analytics ,196,NA,$206.31 ,24,8,0.051,"$1,426 ",11/23/2024,Hyderabad,Tablet,Data Analitics Online
A1562,DataAnalytics,155,3864,$222.17 ,12,3,NA,"$1,407 ",11/21/2024,Hyderabad,Mobile,Data Anaytics Training
A1563,DataAnalytics,188,3838,$240.99 ,15,3,0.016,"$1,951 ",10/11/2024,Hyderabad,Mobile,Data Analytics Course
A1564,Data Analytcis ,81,5659,$222.98 ,25,4,0.057,"$1,654 ",11/19/2024,Hyderabad,Tablet,Data Analitics Online
A1565,Data Analytics ,125,4794,NA,28,7,0.051,"$1,453 ",11/22/2024,Hyderabad,Desktop,Data Analitics Online
A1566,Data Analytics ,158,5214,$222.28 ,21,3,0.019,"$1,630 ",3/11/2024,Hyderabad,Desktop,Data Analytics Course
A1567,Data Analytics ,133,5762,$196.02 ,10,5,0.038,NA,11/3/2024,Hyderabad,Tablet,Data Analytics Course
A1568,Data Analytcis ,128,5026,$239.88 ,15,9,0.07,"$1,745 ",11/25/2024,Hyderabad,Mobile,Analytics For Data
A1569,Data Analytcis ,148,3883,$181.40 ,30,4,0.027,"$1,966 ",11/16/2024,Hyderabad,Desktop,Analytics For Data
A1570,DataAnalytics,92,4605,$234.69 ,29,3,NA,"$1,264 ",11/30/2024,Hyderabad,Mobile,Data Anaytics Training
A1571,Data analytics ,147,NA,$205.83 ,25,8,NA,"$1,728 ",11/2/2024,Hyderabad,Desktop,Data Analytics Course
A1572,Data analytics ,136,5454,$247.70 ,13,6,0.044,"$1,687 ",11/6/2024,Hyderabad,Mobile,Data Analitics Online
A1573,Data analytics ,132,4957,$220.43 ,28,6,0.045,"$1,218 ",3/11/2024,Hyderabad,Mobile,Online Data Analytic
A1574,DataAnalytics,173,NA,$241.61 ,28,3,0.017,"$1,191 ",11/13/2024,Hyderabad,Tablet,Learn Data Analytics
A1575,Data analytics ,85,4747,$224.35 ,26,5,0.059,"$1,087 ",1/11/2024,Hyderabad,Tablet,Data Analytics Course
A1576,Data Analytcis ,129,5874,$200.17 ,12,5,0.039,"$1,405 ",11/29/2024,Hyderabad,Tablet,Online Data Analytic
A1577,Data Analytics ,181,4730,$243.35 ,16,4,NA,"$1,975 ",11/20/2024,Hyderabad,Mobile,Online Data Analytic
A1578,Data Analytcis ,85,5341,$249.64 ,21,6,0.032,"$1,388 ",11/10/2024,Hyderabad,Mobile,Online Data Analytic
A1579,Data Analytcis ,92,4327,$188.60 ,14,7,NA,"$1,140 ",11/22/2024,Hyderabad,Tablet,Data Anaytics Training
A1580,Data Analytics ,192,NA,$180.82 ,27,4,0.021,"$1,847 ",9/11/2024,Hyderabad,Mobile,Data Anaytics Training
A1581,Data Analytcis ,146,4484,$194.67 ,27,9,0.052,"$1,234 ",11/2/2024,Hyderabad,Tablet,Data Anaytics Training
A1582,Data analytics ,178,4311,$205.46 ,18,4,0.022,"$1,671 ",11/18/2024,Hyderabad,Tablet,Analytics For Data
A1583,DataAnalytics,197,3009,$233.44 ,22,9,0.046,"$1,374 ",18-11-2024,Hyderabad,Tablet,Analytics For Data
A1584,Data analytics ,176,3110,$205.23 ,23,5,0.028,"$1,746 ",11/19/2024,Hyderabad,Desktop,Online Data Analytic
A1585,DataAnalytics,98,3365,$224.28 ,27,9,NA,"$1,108 ",27-11-2024,Hyderabad,Desktop,Data Anaytics Training
A1586,DataAnalytics,105,3274,$187.89 ,24,4,0.038,"$1,360 ",11/9/2024,Hyderabad,Desktop,Learn Data Analytics
A1587,DataAnalytics,113,3231,$210.13 ,19,10,0.041,"$1,234 ",11/15/2024,Hyderabad,Desktop,Online Data Analytic
A1588,Data Analytics ,NA,3440,$246.53 ,13,10,NA,"$1,217 ",27-11-2024,Hyderabad,Tablet,Online Data Analytic
A1589,Data Analytcis ,88,5196,$197.32 ,26,5,0.057,"$1,438 ",11/3/2024,Hyderabad,Desktop,Online Data Analytic
A1590,Data Analytics ,106,5321,$239.76 ,11,7,0.066,"$1,910 ",24-11-2024,Hyderabad,Desktop,Data Anaytics Training
A1591,DataAnalytics,148,5841,$243.09 ,15,7,0.047,"$1,535 ",29-11-2024,Hyderabad,Mobile,Data Analitics Online
A1592,Data Analytcis ,174,NA,$227.96 ,25,5,0.029,"$1,566 ",11/15/2024,Hyderabad,Tablet,Online Data Analytic
A1593,DataAnalytics,196,5776,$227.24 ,30,4,0.02,NA,4/11/2024,Hyderabad,Mobile,Data Anaytics Training
A1594,Data Analytics ,128,4729,$243.45 ,25,9,0.031,"$1,782 ",11/23/2024,Hyderabad,Desktop,Learn Data Analytics
A1595,Data Analytcis ,163,5371,$215.89 ,29,7,0.043,"$1,906 ",11/5/2024,Hyderabad,Tablet,Data Analytics Course
A1596,Data Analytics ,183,5268,$203.65 ,17,5,0.027,"$1,731 ",11/12/2024,Hyderabad,Mobile,Learn Data Analytics
A1597,DataAnalytics,196,5386,$224.31 ,23,4,0.02,"$1,423 ",11/30/2024,Hyderabad,Tablet,Learn Data Analytics
A1598,Data analytics ,121,4432,$218.71 ,25,10,NA,"$1,568 ",11/13/2024,Hyderabad,Desktop,Analytics For Data
A1599,Data Analytics ,174,3031,$242.32 ,25,6,0.034,"$1,381 ",11/8/2024,Hyderabad,Mobile,Online Data Analytic
A1600,Data analytics ,142,5999,$214.05 ,27,NA,NA,"$1,064 ",11/21/2024,Hyderabad,Desktop,Analytics For Data
A1601,Data analytics ,118,3274,$222.62 ,10,3,0.025,"$1,716 ",9/11/2024,Hyderabad,Tablet,Analytics For Data
A1602,Data Analytics ,118,5889,$193.01 ,17,10,0.085,"$1,789 ",11/10/2024,Hyderabad,Desktop,Online Data Analytic
A1603,DataAnalytics,149,5601,$222.01 ,15,6,0.04,"$1,514 ",25-11-2024,Hyderabad,Desktop,Analytics For Data
A1604,DataAnalytics,127,4295,$212.60 ,26,10,0.079,"$1,713 ",19-11-2024,Hyderabad,Tablet,Data Analytics Course
A1605,DataAnalytics,195,5135,$226.37 ,17,3,NA,NA,11/24/2024,Hyderabad,Desktop,Data Anaytics Training
A1606,Data analytics ,173,5233,$229.38 ,28,7,NA,"$1,322 ",11/16/2024,Hyderabad,Mobile,Learn Data Analytics
A1607,DataAnalytics,131,5727,$218.65 ,28,4,0.031,"$1,631 ",11/7/2024,Hyderabad,Mobile,Data Anaytics Training
A1608,Data analytics ,105,4691,$213.15 ,21,3,0.035,"$1,276 ",11/22/2024,Hyderabad,Desktop,Analytics For Data
A1609,Data Analytcis ,104,3409,$207.63 ,19,4,NA,"$1,195 ",11/16/2024,Hyderabad,Mobile,Analytics For Data
A1610,DataAnalytics,139,4333,$230.05 ,19,6,0.043,"$1,407 ",21-11-2024,Hyderabad,Desktop,Analytics For Data
A1611,Data Analytcis ,110,4430,$197.84 ,23,5,0.045,NA,11/15/2024,Hyderabad,Mobile,Learn Data Analytics
A1612,Data Analytcis ,193,4860,$181.27 ,14,5,0.026,NA,11/16/2024,Hyderabad,Desktop,Online Data Analytic
A1613,Data Analytics ,109,4396,$188.60 ,11,10,0.092,"$1,451 ",18-11-2024,Hyderabad,Mobile,Data Anaytics Training
A1614,Data Analytics ,141,5000,$223.70 ,29,10,0.071,"$1,909 ",11/12/2024,Hyderabad,Tablet,Data Analitics Online
A1615,Data Analytics ,182,3487,$211.71 ,23,7,0.038,"$1,027 ",11/24/2024,Hyderabad,Mobile,Data Analitics Online
A1616,Data Analytcis ,179,4236,$245.01 ,23,7,0.039,"$1,822 ",11/7/2024,Hyderabad,Mobile,Learn Data Analytics
A1617,Data Analytcis ,89,5349,NA,NA,8,0.09,"$1,371 ",28-11-2024,Hyderabad,Tablet,Data Analitics Online
A1618,DataAnalytics,181,5678,$226.89 ,22,10,NA,"$1,992 ",11/2/2024,Hyderabad,Tablet,Data Anaytics Training
A1619,Data analytics ,85,5247,$219.97 ,15,7,0.082,"$1,612 ",11/20/2024,Hyderabad,Desktop,Analytics For Data
A1620,Data analytics ,179,3685,$202.66 ,15,NA,0.039,"$1,634 ",11/18/2024,Hyderabad,Desktop,Data Analytics Course
A1621,Data analytics ,172,5862,$202.00 ,23,4,0.023,"$1,469 ",11/28/2024,Hyderabad,Desktop,Online Data Analytic
A1622,Data analytics ,196,5040,$197.08 ,11,9,0.046,"$1,774 ",22-11-2024,Hyderabad,Desktop,Data Analytics Course
A1623,DataAnalytics,NA,3423,$223.95 ,30,4,0.055,"$1,480 ",11/3/2024,Hyderabad,Desktop,Analytics For Data
A1624,Data analytics ,135,5981,$228.66 ,26,6,NA,"$1,515 ",12/11/2024,Hyderabad,Desktop,Data Anaytics Training
A1625,Data Analytcis ,97,3495,$230.83 ,16,6,0.062,"$1,675 ",11/23/2024,Hyderabad,Tablet,Analytics For Data
A1626,DataAnalytics,137,3702,$215.41 ,25,9,0.066,"$1,010 ",10/11/2024,Hyderabad,Desktop,Learn Data Analytics
A1627,Data Analytcis ,164,3405,$217.58 ,10,3,0.018,"$1,885 ",11/30/2024,Hyderabad,Desktop,Data Analitics Online
A1628,Data analytics ,178,3370,$180.66 ,25,9,0.051,"$1,830 ",11/24/2024,Hyderabad,Desktop,Online Data Analytic
A1629,DataAnalytics,146,4455,$227.13 ,16,5,NA,"$1,040 ",24-11-2024,Hyderabad,Tablet,Online Data Analytic
A1630,DataAnalytics,149,4670,$218.31 ,10,10,0.067,"$1,623 ",11/2/2024,Hyderabad,Mobile,Analytics For Data
A1631,DataAnalytics,193,4287,$204.62 ,15,3,NA,"$1,800 ",11/9/2024,Hyderabad,Tablet,Data Anaytics Training
A1632,DataAnalytics,NA,3546,$183.41 ,27,7,NA,"$1,701 ",11/28/2024,Hyderabad,Mobile,Data Anaytics Training
A1633,Data Analytcis ,106,4740,$229.13 ,19,3,0.028,"$1,149 ",11/11/2024,Hyderabad,Desktop,Online Data Analytic
A1634,DataAnalytics,131,5642,$184.57 ,20,9,NA,"$1,827 ",16-11-2024,Hyderabad,Mobile,Data Analytics Course
A1635,Data Analytcis ,111,4161,$185.58 ,10,7,NA,"$1,434 ",11/4/2024,Hyderabad,Desktop,Data Anaytics Training
A1636,Data Analytcis ,144,4241,$181.40 ,24,5,0.035,"$1,693 ",11/19/2024,Hyderabad,Mobile,Online Data Analytic
A1637,DataAnalytics,151,5875,$192.46 ,28,NA,NA,"$1,459 ",11/18/2024,Hyderabad,Mobile,Data Analitics Online
A1638,Data analytics ,146,5457,NA,15,5,0.034,"$1,029 ",11/2/2024,Hyderabad,Desktop,Data Analytics Course
A1639,DataAnalytics,133,4780,$198.66 ,22,4,0.03,"$1,905 ",9/11/2024,Hyderabad,Tablet,Online Data Analytic
A1640,Data Analytics ,NA,5922,$239.10 ,12,3,0.048,"$1,733 ",11/6/2024,Hyderabad,Desktop,Data Analytics Course
A1641,Data Analytcis ,82,3454,$228.02 ,30,7,0.049,"$1,463 ",11/9/2024,Hyderabad,Desktop,Learn Data Analytics
A1642,Data Analytcis ,135,3449,$200.06 ,17,5,0.037,"$1,950 ",11/7/2024,Hyderabad,Mobile,Data Analytics Course
A1643,Data Analytcis ,199,4287,$235.58 ,12,10,0.05,"$1,276 ",11/10/2024,Hyderabad,Tablet,Data Analytics Course
A1644,DataAnalytics,123,5000,$187.67 ,25,3,0.024,"$1,351 ",11/7/2024,Hyderabad,Tablet,Data Analitics Online
A1645,DataAnalytics,154,3437,$211.63 ,28,4,0.026,"$1,604 ",11/14/2024,Hyderabad,Tablet,Data Anaytics Training
A1646,DataAnalytics,88,3475,$191.96 ,12,7,0.08,"$1,204 ",11/25/2024,Hyderabad,Desktop,Online Data Analytic
A1647,Data Analytics ,165,4889,$180.19 ,21,4,0.024,"$1,458 ",11/19/2024,Hyderabad,Mobile,Analytics For Data
A1648,Data Analytics ,87,3639,$220.76 ,22,3,0.036,"$1,231 ",11/14/2024,Hyderabad,Mobile,Analytics For Data
A1649,Data Analytics ,147,3959,$181.18 ,27,9,0.061,"$1,627 ",11/26/2024,Hyderabad,Mobile,Analytics For Data
A1650,Data Analytcis ,137,5400,$180.04 ,10,10,0.073,"$1,375 ",11/29/2024,Hyderabad,Tablet,Analytics For Data
A1651,DataAnalytics,188,5528,$245.03 ,13,10,0.053,"$1,202 ",11/29/2024,Hyderabad,Desktop,Analytics For Data
A1652,Data analytics ,162,5456,$193.69 ,10,6,0.037,"$1,992 ",11/29/2024,Hyderabad,Tablet,Online Data Analytic
A1653,Data Analytcis ,102,4308,$221.54 ,13,7,0.06,"$1,096 ",11/8/2024,Hyderabad,Mobile,Data Analitics Online
A1654,DataAnalytics,120,3245,$196.09 ,15,9,0.075,"$1,056 ",11/22/2024,Hyderabad,Desktop,Data Anaytics Training
A1655,Data Analytcis ,125,3339,$205.32 ,18,4,0.054,"$1,985 ",28-11-2024,Hyderabad,Desktop,Data Analytics Course
A1656,Data analytics ,155,5977,$187.28 ,16,7,NA,"$1,607 ",11/10/2024,Hyderabad,Desktop,Online Data Analytic
A1657,Data Analytcis ,137,4231,$226.49 ,25,5,0.036,"$1,078 ",11/12/2024,Hyderabad,Tablet,Analytics For Data
A1658,Data Analytcis ,91,4506,$195.99 ,12,3,0.045,"$1,179 ",11/22/2024,Hyderabad,Tablet,Learn Data Analytics
A1659,DataAnalytics,87,4869,$220.97 ,29,5,0.057,"$1,480 ",11/5/2024,Hyderabad,Desktop,Data Anaytics Training
A1660,Data Analytics ,124,5716,$217.84 ,28,8,NA,"$1,791 ",11/24/2024,Hyderabad,Mobile,Data Anaytics Training
A1661,Data analytics ,128,3243,$208.41 ,14,6,0.037,"$1,514 ",2/11/2024,Hyderabad,Mobile,Online Data Analytic
A1662,Data Analytcis ,111,3911,$239.24 ,28,9,NA,"$1,097 ",11/1/2024,Hyderabad,Tablet,Online Data Analytic
A1663,Data Analytics ,89,3982,$209.87 ,27,7,0.079,"$1,920 ",4/11/2024,Hyderabad,Desktop,Data Analytics Course
A1664,Data analytics ,107,5299,$207.36 ,19,8,NA,"$1,567 ",11/26/2024,Hyderabad,Tablet,Data Anaytics Training
A1665,Data analytics ,181,4150,$236.69 ,15,5,NA,"$1,251 ",11/10/2024,Hyderabad,Mobile,Data Analitics Online
A1666,DataAnalytics,110,5925,$188.18 ,29,9,0.082,"$1,682 ",23-11-2024,Hyderabad,Desktop,Data Anaytics Training
A1667,Data Analytcis ,85,4010,$195.26 ,17,4,0.042,"$1,853 ",6/11/2024,Hyderabad,Mobile,Data Analitics Online
A1668,Data Analytics ,125,5767,NA,12,8,0.035,"$1,020 ",11/19/2024,Hyderabad,Tablet,Data Analitics Online
A1669,Data analytics ,163,NA,NA,11,3,0.018,"$1,819 ",11/20/2024,Hyderabad,Tablet,Data Anaytics Training
A1670,Data Analytics ,129,3787,$229.81 ,10,6,0.047,"$1,221 ",11/13/2024,Hyderabad,Desktop,Online Data Analytic
A1671,Data Analytcis ,112,4834,$212.27 ,11,7,0.062,"$1,524 ",11/27/2024,Hyderabad,Mobile,Data Analitics Online
A1672,Data Analytcis ,104,3031,$188.47 ,13,6,0.043,"$1,998 ",11/5/2024,Hyderabad,Desktop,Data Anaytics Training
A1673,DataAnalytics,132,3754,$180.88 ,21,10,0.076,"$1,601 ",11/24/2024,Hyderabad,Mobile,Online Data Analytic
A1674,Data analytics ,113,3281,$241.85 ,16,6,0.053,NA,8/11/2024,Hyderabad,Tablet,Data Analitics Online
A1675,Data analytics ,109,4910,$236.20 ,NA,8,0.054,"$1,145 ",11/8/2024,Hyderabad,Tablet,Data Anaytics Training
A1676,Data analytics ,144,5026,$231.82 ,14,4,0.028,"$1,645 ",11/10/2024,Hyderabad,Desktop,Data Analytics Course
A1677,Data Analytics ,179,5091,$238.62 ,10,6,0.034,"$1,259 ",24-11-2024,Hyderabad,Mobile,Learn Data Analytics
A1678,Data Analytcis ,NA,5622,$190.87 ,14,8,NA,"$1,400 ",17-11-2024,Hyderabad,Mobile,Analytics For Data
A1679,Data analytics ,116,4538,$221.74 ,23,9,0.078,"$1,639 ",11/24/2024,Hyderabad,Desktop,Data Anaytics Training
A1680,DataAnalytics,89,3509,$192.14 ,27,9,0.101,"$1,564 ",11/12/2024,Hyderabad,Mobile,Online Data Analytic
A1681,DataAnalytics,96,3346,$248.48 ,15,7,0.073,"$1,118 ",11/28/2024,Hyderabad,Desktop,Data Analitics Online
A1682,DataAnalytics,193,4706,$213.41 ,24,8,0.046,"$1,058 ",11/9/2024,Hyderabad,Desktop,Data Analytics Course
A1683,Data Analytcis ,122,3896,$194.30 ,23,3,0.025,"$1,355 ",21-11-2024,Hyderabad,Mobile,Data Analytics Course
A1684,DataAnalytics,133,3332,$201.59 ,14,7,NA,"$1,943 ",11/15/2024,Hyderabad,Tablet,Data Analytics Course
A1685,DataAnalytics,177,5738,$249.21 ,11,7,0.04,"$1,435 ",16-11-2024,Hyderabad,Mobile,Data Anaytics Training
A1686,Data Analytics ,162,5346,$223.12 ,25,5,0.031,"$1,052 ",28-11-2024,Hyderabad,Desktop,Data Analytics Course
A1687,DataAnalytics,182,5857,$192.69 ,15,4,0.048,"$1,384 ",11/2/2024,Hyderabad,Desktop,Data Analytics Course
A1688,Data Analytics ,154,4836,$233.80 ,26,10,NA,"$1,838 ",11/30/2024,Hyderabad,Desktop,Data Analytics Course
A1689,Data Analytics ,104,5291,$186.93 ,19,10,0.096,"$1,805 ",11/29/2024,Hyderabad,Tablet,Data Analytics Course
A1690,Data Analytcis ,101,4840,$230.68 ,21,9,0.089,"$1,556 ",11/22/2024,Hyderabad,Desktop,Data Anaytics Training
A1691,Data Analytcis ,173,4246,$202.95 ,27,3,0.017,"$1,276 ",11/29/2024,Hyderabad,Tablet,Learn Data Analytics
A1692,Data Analytics ,186,5824,$224.48 ,29,6,NA,"$1,882 ",11/28/2024,Hyderabad,Mobile,Data Analitics Online
A1693,Data Analytcis ,148,5952,$186.32 ,14,4,0.044,"$1,469 ",10/11/2024,Hyderabad,Mobile,Data Analytics Course
A1694,Data analytics ,181,3691,$229.14 ,25,10,NA,"$1,375 ",11/6/2024,Hyderabad,Mobile,Analytics For Data
A1695,Data Analytcis ,110,4350,$243.88 ,16,9,NA,"$1,157 ",15-11-2024,Hyderabad,Tablet,Online Data Analytic
A1696,Data Analytics ,151,5656,$191.95 ,18,7,NA,"$1,813 ",2/11/2024,Hyderabad,Mobile,Data Analitics Online
A1697,Data Analytcis ,90,4566,$228.82 ,29,9,0.051,"$1,697 ",11/13/2024,Hyderabad,Desktop,Data Anaytics Training
A1698,Data analytics ,111,4245,$245.76 ,22,8,0.072,NA,11/7/2024,Hyderabad,Desktop,Online Data Analytic
A1699,DataAnalytics,170,5053,$217.41 ,16,9,0.031,"$1,497 ",17-11-2024,Hyderabad,Mobile,Data Anaytics Training
A1700,DataAnalytics,112,5093,$228.80 ,23,7,0.062,"$1,188 ",17-11-2024,Hyderabad,Desktop,Analytics For Data
A1701,Data analytics ,188,5336,$188.73 ,17,3,0.016,"$1,601 ",11/3/2024,Hyderabad,Tablet,Online Data Analytic
A1702,Data analytics ,85,4963,$186.21 ,14,6,NA,"$1,747 ",5/11/2024,Hyderabad,Mobile,Data Analytics Course
A1703,Data Analytcis ,94,4544,$235.77 ,23,8,NA,"$1,342 ",11/5/2024,Hyderabad,Tablet,Online Data Analytic
A1704,Data Analytcis ,177,4901,$217.54 ,20,10,0.056,"$1,975 ",11/13/2024,Hyderabad,Tablet,Data Analitics Online
A1705,DataAnalytics,150,5275,$192.70 ,14,4,0.027,"$1,170 ",27-11-2024,Hyderabad,Tablet,Data Analitics Online
A1706,Data Analytcis ,88,5225,$202.97 ,22,6,0.068,"$1,128 ",13-11-2024,Hyderabad,Tablet,Online Data Analytic
A1707,Data Analytics ,128,4857,$212.61 ,14,5,0.039,"$1,538 ",25-11-2024,Hyderabad,Desktop,Data Analitics Online
A1708,Data Analytcis ,163,5310,$242.76 ,26,9,0.055,"$1,793 ",11/12/2024,Hyderabad,Mobile,Learn Data Analytics
A1709,Data analytics ,147,5014,$193.08 ,12,8,0.054,"$1,017 ",11/11/2024,Hyderabad,Tablet,Online Data Analytic
A1710,Data analytics ,191,5855,$196.54 ,29,3,0.016,"$1,085 ",21-11-2024,Hyderabad,Desktop,Data Analytics Course
A1711,DataAnalytics,NA,5916,$234.46 ,17,6,0.044,"$1,982 ",11/2/2024,Hyderabad,Desktop,Data Analytics Course
A1712,Data Analytcis ,115,3952,$229.18 ,25,4,0.035,"$1,440 ",20-11-2024,Hyderabad,Tablet,Online Data Analytic
A1713,DataAnalytics,123,4208,$212.92 ,29,6,0.049,"$1,184 ",11/5/2024,Hyderabad,Desktop,Learn Data Analytics
A1714,DataAnalytics,121,5517,$222.14 ,16,7,NA,"$1,682 ",11/2/2024,Hyderabad,Tablet,Learn Data Analytics
A1715,Data Analytcis ,126,5460,$210.83 ,24,10,0.079,"$1,326 ",11/14/2024,Hyderabad,Tablet,Online Data Analytic
A1716,Data Analytics ,110,3159,$197.92 ,26,10,0.091,"$1,608 ",11/18/2024,Hyderabad,Mobile,Data Analitics Online
A1717,Data Analytics ,190,5545,$223.96 ,13,7,0.037,"$1,344 ",11/14/2024,Hyderabad,Tablet,Analytics For Data
A1718,Data analytics ,148,3668,$245.79 ,15,10,0.068,"$1,718 ",11/25/2024,Hyderabad,Desktop,Data Analytics Course
A1719,Data analytics ,86,5663,$231.79 ,19,10,0.116,"$1,547 ",17-11-2024,Hyderabad,Mobile,Data Anaytics Training
A1720,Data Analytics ,172,3123,$216.67 ,15,NA,NA,"$1,759 ",2/11/2024,Hyderabad,Desktop,Online Data Analytic
A1721,DataAnalytics,143,5638,$229.41 ,23,4,0.058,"$1,398 ",11/3/2024,Hyderabad,Desktop,Online Data Analytic
A1722,DataAnalytics,172,4436,$232.16 ,21,7,0.041,"$1,050 ",11/27/2024,Hyderabad,Mobile,Learn Data Analytics
A1723,Data Analytcis ,138,5555,$188.55 ,14,8,0.058,"$1,593 ",24-11-2024,Hyderabad,Desktop,Data Anaytics Training
A1724,Data Analytcis ,132,4972,$248.45 ,25,9,NA,"$1,126 ",11/19/2024,Hyderabad,Tablet,Data Analitics Online
A1725,Data Analytcis ,174,3231,NA,10,7,0.04,"$1,128 ",11/12/2024,Hyderabad,Mobile,Data Analytics Course
A1726,Data Analytcis ,154,3461,$235.36 ,18,4,NA,"$1,212 ",18-11-2024,Hyderabad,Tablet,Data Analitics Online
